study,logHR_per_cup,se,HR,lo,hi
"Larsson 2015 (COSM, men)",0.0050715884790995735,0.007498792424405806,1.0050844707526063,0.9904204047633673,1.0199656514441502
"Larsson 2015 (SMC, women)",-0.01648108541299212,0.009981252087361328,0.9836539846235945,0.964597869363122,1.0030865630096388
Mostofsky 2016 (DCH),-0.0361813272267206,0.00954402253786202,0.96446539379144,0.9465918533056745,0.982676422338592
Bodar 2019 (PHS),-0.04162129805952693,0.015987967344230906,0.9592329751859602,0.9296406749773877,0.9897672568021938
Kim 2021 (UK Biobank),-0.030459207484708574,0.005260118860023883,0.97,0.9600510190524634,0.9800520819493898
