id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
ukb-b-6066,ebi-a-GCST006061,ebi-a-GCST006061,Tea intake,Inverse variance weighted,32,-0.0441683247844215,0.104810049583042,0.673453476695653
ukb-b-6066,ebi-a-GCST006061,ebi-a-GCST006061,Tea intake,MR Egger,32,0.212316296084311,0.229710003958331,0.36271591304808
ukb-b-6066,ebi-a-GCST006061,ebi-a-GCST006061,Tea intake,Weighted median,32,0.0261026913121316,0.110003262539163,0.812431698540901
ukb-b-6066,ebi-a-GCST006061,ebi-a-GCST006061,Tea intake,Weighted mode,32,0.0260356976170772,0.103379231765933,0.802821910995037
