id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
ukb-b-8442,bbj-a-71,bbj-a-71,Sugar added to tea,Inverse variance weighted,11,-0.415601248049267,0.594194762947049,0.484279554520927
ukb-b-8442,bbj-a-71,bbj-a-71,Sugar added to tea,MR Egger,11,1.41356584411417,2.42019656939742,0.573518581572857
ukb-b-8442,bbj-a-71,bbj-a-71,Sugar added to tea,Weighted median,11,-0.00470171841794798,0.472760789374157,0.992064979204573
ukb-b-8442,bbj-a-71,bbj-a-71,Sugar added to tea,Weighted mode,11,0.221860386562761,0.588385485224297,0.714002653269794
