exposure,AFGen (EUR),AFGen (EUR)_P,AFGen (EUR)_n,FinnGen (EUR),FinnGen (EUR)_P,FinnGen (EUR)_n,BBJ (EAS),BBJ (EAS)_P,BBJ (EAS)_n
Sugar added to tea,0.972 (0.787-1.200),0.793,17,0.716 (0.436-1.175),0.186,20,0.660 (0.206-2.115),0.484,11
Sugar added to coffee,0.805 (0.662-0.980),0.0303,15,0.902 (0.601-1.353),0.618,16,0.506 (0.190-1.353),0.175,11
Fizzy drink intake SSB,0.753 (0.513-1.104),0.146,8,0.991 (0.613-1.604),0.972,11,0.350 (0.060-2.051),0.245,4
Low-calorie drink intake ASB,0.897 (0.774-1.038),0.145,17,1.047 (0.824-1.330),0.709,19,1.236 (0.764-2.001),0.388,8
Artificial sweetener added to tea,0.998 (0.770-1.293),0.985,14,0.974 (0.630-1.505),0.904,17,0.854 (0.206-3.542),0.828,6
Coffee intake,1.257 (1.021-1.547),0.031,34,1.642 (0.977-2.762),0.0614,38,2.339 (1.170-4.678),0.0162,32
Tea intake,0.957 (0.779-1.175),0.673,32,0.743 (0.484-1.142),0.176,40,1.058 (0.524-2.137),0.875,36
